threshold,precision,recall,tpr,fpr,specificity,f1
0.0000,0.220569,1.000000,1.000000,1.000000,0.000000,0.361420
0.0100,0.220569,1.000000,1.000000,1.000000,0.000000,0.361420
0.0200,0.220569,1.000000,1.000000,1.000000,0.000000,0.361420
0.0300,0.220570,1.000000,1.000000,0.999995,0.000005,0.361421
0.0400,0.220583,1.000000,1.000000,0.999919,0.000081,0.361438
0.0500,0.220657,1.000000,1.000000,0.999486,0.000514,0.361538
0.0600,0.220853,0.999857,0.999857,0.998204,0.001796,0.361792
0.0700,0.221244,0.999733,0.999733,0.995818,0.004182,0.362308
0.0800,0.221885,0.999554,0.999554,0.991945,0.008055,0.363156
0.0900,0.222800,0.999323,0.999323,0.986482,0.013518,0.364365
0.1000,0.223893,0.998717,0.998717,0.979693,0.020307,0.365784
0.1100,0.225118,0.997986,0.997986,0.972111,0.027889,0.367368
0.1200,0.226566,0.997023,0.997023,0.963163,0.036837,0.369228
0.1300,0.228044,0.995918,0.995918,0.954033,0.045967,0.371112
0.1400,0.229644,0.994368,0.994368,0.943950,0.056050,0.373119
0.1500,0.231276,0.992318,0.992318,0.933378,0.066622,0.375123
0.1600,0.233039,0.990161,0.990161,0.922180,0.077820,0.377283
0.1700,0.234945,0.987666,0.987666,0.910130,0.089870,0.379592
0.1800,0.236950,0.984974,0.984974,0.897611,0.102389,0.382003
0.1900,0.239092,0.981516,0.981516,0.883956,0.116044,0.384518
0.2000,0.241337,0.977773,0.977773,0.869818,0.130182,0.387124
0.2100,0.243796,0.974333,0.974333,0.855235,0.144765,0.390006
0.2200,0.246025,0.968914,0.968914,0.840290,0.159710,0.392410
0.2300,0.248686,0.963941,0.963941,0.824114,0.175886,0.395371
0.2400,0.251272,0.957899,0.957899,0.807731,0.192269,0.398112
0.2500,0.254063,0.951536,0.951536,0.790591,0.209409,0.401046
0.2600,0.256848,0.944032,0.944032,0.772957,0.227043,0.403825
0.2700,0.259930,0.936421,0.936421,0.754490,0.245510,0.406910
0.2800,0.263062,0.928221,0.928221,0.735853,0.264147,0.409944
0.2900,0.266308,0.919256,0.919256,0.716690,0.283310,0.412977
0.3000,0.269643,0.909417,0.909417,0.697069,0.302931,0.415955
0.3100,0.272986,0.898437,0.898437,0.677105,0.322895,0.418740
0.3200,0.276660,0.887297,0.887297,0.656494,0.343506,0.421802
0.3300,0.280494,0.875604,0.875604,0.635602,0.364398,0.424880
0.3400,0.284363,0.862984,0.862984,0.614593,0.385407,0.427771
0.3500,0.288248,0.849206,0.849206,0.593393,0.406607,0.430403
0.3600,0.292310,0.834982,0.834982,0.572062,0.427938,0.433026
0.3700,0.296174,0.819011,0.819011,0.550776,0.449224,0.435030
0.3800,0.300345,0.803094,0.803094,0.529414,0.470586,0.437189
0.3900,0.304391,0.785662,0.785662,0.508083,0.491917,0.438784
0.4000,0.308745,0.768586,0.768586,0.486964,0.513036,0.440528
0.4100,0.313043,0.750637,0.750637,0.466147,0.533853,0.441827
0.4200,0.317331,0.731298,0.731298,0.445204,0.554796,0.442603
0.4300,0.321906,0.712350,0.712350,0.424639,0.575361,0.443430
0.4400,0.326778,0.692441,0.692441,0.403696,0.596304,0.444015
0.4500,0.331309,0.672763,0.672763,0.384256,0.615744,0.443977
0.4600,0.335976,0.651944,0.651944,0.364630,0.635370,0.443431
0.4700,0.341202,0.631998,0.631998,0.345321,0.654679,0.443154
0.4800,0.346444,0.611358,0.611358,0.326371,0.673629,0.442265
0.4900,0.351311,0.590503,0.590503,0.308555,0.691445,0.440533
0.5000,0.356567,0.569809,0.569809,0.290977,0.709023,0.438645
0.5100,0.361362,0.548153,0.548153,0.274145,0.725855,0.435576
0.5200,0.366026,0.525979,0.525979,0.257807,0.742193,0.431661
0.5300,0.370851,0.503841,0.503841,0.241888,0.758112,0.427236
0.5400,0.375983,0.482559,0.482559,0.226645,0.773355,0.422656
0.5500,0.381181,0.461972,0.461972,0.212234,0.787766,0.417706
0.5600,0.385596,0.440422,0.440422,0.198590,0.801410,0.411190
0.5700,0.391021,0.420405,0.420405,0.185283,0.814717,0.405181
0.5800,0.396792,0.400852,0.400852,0.172446,0.827554,0.398812
0.5900,0.401715,0.380800,0.380800,0.160492,0.839508,0.390978
0.6000,0.407359,0.361906,0.361906,0.148996,0.851004,0.383290
0.6100,0.412852,0.343547,0.343547,0.138263,0.861737,0.375024
0.6200,0.417570,0.324831,0.324831,0.128215,0.871785,0.365408
0.6300,0.423001,0.307417,0.307417,0.118667,0.881333,0.356063
0.6400,0.427107,0.289664,0.289664,0.109950,0.890050,0.345208
0.6500,0.431918,0.272124,0.272124,0.101285,0.898715,0.333887
0.6600,0.437638,0.254924,0.254924,0.092700,0.907300,0.322179
0.6700,0.444077,0.239060,0.239060,0.084690,0.915310,0.310805
0.6800,0.450593,0.222626,0.222626,0.076816,0.923184,0.298012
0.6900,0.457086,0.207315,0.207315,0.069684,0.930316,0.285252
0.7000,0.462992,0.192663,0.192663,0.063237,0.936763,0.272099
0.7100,0.469578,0.176907,0.176907,0.056549,0.943451,0.256995
0.7200,0.476206,0.161239,0.161239,0.050188,0.949812,0.240909
0.7300,0.483332,0.146017,0.146017,0.044171,0.955829,0.224279
0.7400,0.491793,0.131383,0.131383,0.038421,0.961579,0.207368
0.7500,0.501517,0.117890,0.117890,0.033160,0.966840,0.190905
0.7600,0.514398,0.105075,0.105075,0.028070,0.971930,0.174504
0.7700,0.527508,0.092116,0.092116,0.023349,0.976651,0.156844
0.7800,0.539640,0.079105,0.079105,0.019097,0.980903,0.137982
0.7900,0.553516,0.066645,0.066645,0.015213,0.984787,0.118967
0.8000,0.571220,0.055826,0.055826,0.011859,0.988141,0.101711
0.8100,0.581087,0.044579,0.044579,0.009094,0.990906,0.082805
0.8200,0.589442,0.034829,0.034829,0.006865,0.993135,0.065771
0.8300,0.590744,0.026166,0.026166,0.005130,0.994870,0.050113
0.8400,0.603892,0.018805,0.018805,0.003490,0.996510,0.036474
0.8500,0.607357,0.012655,0.012655,0.002315,0.997685,0.024794
0.8600,0.608696,0.008235,0.008235,0.001498,0.998502,0.016250
0.8700,0.629956,0.005098,0.005098,0.000847,0.999153,0.010114
0.8800,0.586345,0.002602,0.002602,0.000520,0.999480,0.005182
0.8900,0.603604,0.001194,0.001194,0.000222,0.999778,0.002384
0.9000,0.645833,0.000553,0.000553,0.000086,0.999914,0.001104
0.9100,0.636364,0.000250,0.000250,0.000040,0.999960,0.000499
0.9200,0.600000,0.000053,0.000053,0.000010,0.999990,0.000107
0.9300,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9400,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9600,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9700,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9800,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9900,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
1.0000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
