threshold,precision,recall,tpr,fpr,specificity,f1
0.0000,0.220569,1.000000,1.000000,1.000000,0.000000,0.361420
0.0100,0.220580,1.000000,1.000000,0.999934,0.000066,0.361435
0.0200,0.221877,0.999572,0.999572,0.992010,0.007990,0.363146
0.0300,0.225783,0.997255,0.997255,0.967708,0.032292,0.368203
0.0400,0.231293,0.992532,0.992532,0.933489,0.066511,0.375161
0.0500,0.237661,0.983602,0.983602,0.892844,0.107156,0.382823
0.0600,0.244960,0.970982,0.970982,0.846938,0.153062,0.391223
0.0700,0.252887,0.953728,0.953728,0.797355,0.202645,0.399771
0.0800,0.261277,0.931697,0.931697,0.745457,0.254543,0.408107
0.0900,0.270114,0.906957,0.906957,0.693523,0.306477,0.416257
0.1000,0.279477,0.878224,0.878224,0.640727,0.359273,0.424019
0.1100,0.288771,0.844964,0.844964,0.588924,0.411076,0.430438
0.1200,0.298139,0.809671,0.809671,0.539397,0.460603,0.435805
0.1300,0.307401,0.772829,0.772829,0.492749,0.507251,0.439848
0.1400,0.315908,0.734185,0.734185,0.449910,0.550090,0.441742
0.1500,0.325572,0.696629,0.696629,0.408372,0.591628,0.443754
0.1600,0.334101,0.657184,0.657184,0.370668,0.629332,0.442992
0.1700,0.343076,0.621411,0.621411,0.336721,0.663279,0.442082
0.1800,0.350844,0.583552,0.583552,0.305549,0.694451,0.438220
0.1900,0.359123,0.547208,0.547208,0.276344,0.723656,0.433650
0.2000,0.366949,0.512504,0.512504,0.250206,0.749794,0.427681
0.2100,0.374533,0.480705,0.480705,0.227174,0.772826,0.421029
0.2200,0.382965,0.450386,0.450386,0.205354,0.794646,0.413948
0.2300,0.390256,0.421760,0.421760,0.186479,0.813521,0.405397
0.2400,0.396834,0.393687,0.393687,0.169334,0.830666,0.395254
0.2500,0.403557,0.367627,0.367627,0.153758,0.846242,0.384755
0.2600,0.409944,0.343458,0.343458,0.139897,0.860103,0.373767
0.2700,0.416474,0.320928,0.320928,0.127246,0.872754,0.362511
0.2800,0.421139,0.298647,0.298647,0.116165,0.883835,0.349470
0.2900,0.426867,0.278096,0.278096,0.105663,0.894337,0.336783
0.3000,0.433552,0.259754,0.259754,0.096039,0.903961,0.324870
0.3100,0.439571,0.241680,0.241680,0.087197,0.912803,0.311884
0.3200,0.445570,0.224195,0.224195,0.078945,0.921055,0.298297
0.3300,0.453168,0.208955,0.208955,0.071353,0.928647,0.286024
