model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
DeepLearning_grid_1_AutoML_1_20250928_224437_model_280,0.8894235225778218,0.7126642359215565,0.4877978828540891,0.469744515526837,0.3971858801331879,0.1577566233771751,50341,0.001804,DeepLearning
DeepLearning_grid_1_AutoML_1_20250928_224437_model_72,0.8890341248691023,0.7138515375032358,0.4888116264377289,0.4717900570557041,0.3971137507574417,0.1576993310406435,62146,0.001624,DeepLearning
DeepLearning_grid_1_AutoML_1_20250928_224437_model_20,0.8885316788904309,0.7125290787730935,0.5162530561773888,0.4683881475272198,0.3977756179827463,0.1582254422615557,49575,0.000964,DeepLearning
DeepLearning_grid_1_AutoML_1_20250928_224437_model_186,0.8879052994545964,0.7082538018965624,0.5065334904392027,0.4727387294111095,0.4002460272710357,0.1601968823462466,43262,0.000649,DeepLearning
DeepLearning_grid_1_AutoML_1_20250928_224437_model_184,0.887152207214265,0.7136597450680481,0.5040513714275568,0.4729782417853696,0.3967983057441929,0.157448895441462,39257,0.001144,DeepLearning
DeepLearning_grid_1_AutoML_1_20250928_224437_model_142,0.8870249347927952,0.7091660800083442,0.4986744224492567,0.4831573568348054,0.4029063432112477,0.1623335213998597,53721,0.000652,DeepLearning
DeepLearning_grid_1_AutoML_1_20250928_224437_model_216,0.8869667900414606,0.7103621811070155,0.4989896638058007,0.5,0.4009073107113209,0.1607266717817836,43274,0.000656,DeepLearning
DeepLearning_1_AutoML_1_20250928_224437,0.8868973134500905,0.7082565675186037,0.4928349329736359,0.5,0.399733900544179,0.1597871912442636,31759,0.000791,DeepLearning
DeepLearning_grid_1_AutoML_1_20250928_224437_model_168,0.8865712321201477,0.7090957730905052,0.4909454047469157,0.4687043706497438,0.3980682200068614,0.158458307779431,43993,0.000971,DeepLearning
DeepLearning_grid_1_AutoML_1_20250928_224437_model_33,0.8865603031815799,0.7121385913125572,0.5053746164368157,0.468869161894893,0.3973716743667913,0.1579042475890672,34268,0.001021,DeepLearning
