model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
DeepLearning_grid_1_AutoML_1_20250929_75919_model_33,0.9066430374151592,0.7305233223927696,0.4636774456594799,0.4647182248057925,0.3810140776700576,0.1451717273827646,39276,0.001902,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_74,0.9064446781026924,0.7298868460281863,0.4572083246203291,0.4814884580180336,0.3816799372508751,0.145679574499832,39011,0.001579,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_76,0.9063688698499764,0.7290031167428769,0.4649776334477341,0.4745775867195241,0.3820514364000703,0.1459633000553569,48459,0.001153,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_72,0.9063173454632985,0.7299224462373839,0.4521776797826018,0.4749791395027615,0.3806551097059065,0.1448983125452157,47367,0.002087,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_85,0.906138182676624,0.7283816852432978,0.4532802067580064,0.4819161810752371,0.3812426435660332,0.1453459532732174,48691,0.001052,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_44,0.906062300413709,0.7284862776225138,0.4570945602555444,0.4735478112530779,0.3833901181082824,0.1469879826630827,38915,0.001491,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_45,0.9060339426375532,0.7291767168364813,0.4653816406162682,0.4843637689615936,0.3817816899814266,0.1457572588050741,38105,0.000993,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_28,0.9059747373846526,0.72923701306884,0.462439088249918,0.4799444564019195,0.381826002670358,0.1457910963152242,49628,0.001341,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_203,0.9059569386519926,0.7292931354482703,0.4785786189695158,0.4761444122100338,0.3933660454259406,0.1547368456940432,38452,0.001342,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_74,0.9059159682104668,0.7287022008653699,0.4634855783512182,0.4759881528090664,0.3869397957942268,0.1497224055692779,35726,0.00198,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_76,0.9058466012102496,0.7285353838040793,0.4542050336036377,0.4829009318946534,0.3815108860416934,0.1455505561683179,33418,0.001405,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_20,0.9058421260909548,0.7292254215183418,0.453919088836777,0.478082097177256,0.3811884738348355,0.145304652584531,33768,0.001306,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_7,0.9058058579888604,0.729001239475843,0.4582429478530975,0.4912624475974404,0.3835536260168728,0.147113384030691,46300,0.003983,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_197,0.9057689255652616,0.7279397692283958,0.4768552296781798,0.4738939775501117,0.3872780737865543,0.1499843064358238,33257,0.000993,DeepLearning
