model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
DeepLearning_grid_3_AutoML_2_20250929_105731_model_28,0.9121255791760348,0.7379301397411772,0.4465661119848384,0.4797580416730557,0.3777821698110846,0.1427193678271712
DeepLearning_grid_1_AutoML_2_20250929_105731_model_72,0.9120715669168984,0.7370025094361341,0.4655712688875941,0.5,0.3784339012245556,0.1432122175960367
DeepLearning_grid_1_AutoML_2_20250929_105731_model_28,0.9120353663905656,0.7390439181016981,0.4439894651724129,0.4673529950493116,0.3748401537693053,0.1405051408777964
DeepLearning_grid_3_AutoML_2_20250929_105731_model_34,0.9120149168155312,0.7379627073705121,0.4547379262387181,0.460456998886222,0.3816110856053691,0.1456270206569083
DeepLearning_grid_3_AutoML_2_20250929_105731_model_94,0.911899667767222,0.737208289688737,0.4451196496603298,0.4988868757182921,0.3774045029949207,0.1424341588808431
DeepLearning_grid_3_AutoML_2_20250929_105731_model_33,0.9118206932251188,0.7375271104117916,0.4543753853136864,0.4673341906875213,0.3824764025114452,0.1462881984780971
DeepLearning_grid_3_AutoML_2_20250929_105731_model_204,0.9117485959742572,0.7371645450701296,0.4609384145345544,0.4706437128357109,0.384664919885355,0.1479671005904066
DeepLearning_grid_3_AutoML_2_20250929_105731_model_45,0.9117112312356176,0.7367096068554367,0.4465347905856598,0.4780375215678482,0.3780045447336033,0.1428874358392586
DeepLearning_grid_3_AutoML_2_20250929_105731_model_95,0.9116771221880606,0.7369040040354508,0.4584002666660998,0.4714182131346173,0.3829538388214233,0.1466536426680647
DeepLearning_grid_3_AutoML_2_20250929_105731_model_7,0.9116426043473852,0.7372541503654483,0.4466130147032302,0.4647117938223649,0.377816732112517,0.1427454830641813
DeepLearning_grid_3_AutoML_2_20250929_105731_model_87,0.9116140126289805,0.7365849586411729,0.4577303097353245,0.4696666733147618,0.3818184644267867,0.1457853397772294
DeepLearning_grid_3_AutoML_2_20250929_105731_model_74,0.9115758192167676,0.7375861333470557,0.4462009053801329,0.4734393234016952,0.3775324130206393,0.1425307228811866
DeepLearning_grid_3_AutoML_2_20250929_105731_model_1,0.9115282879830396,0.7363895678163063,0.4412980821748121,0.4825567857830076,0.37501323903264,0.140634929449752
DeepLearning_grid_3_AutoML_2_20250929_105731_model_201,0.9115179104594148,0.7360433264284152,0.4706407277494019,0.4815670542236737,0.3885813721208406,0.1509954827593151
DeepLearning_grid_3_AutoML_2_20250929_105731_model_76,0.911384142648867,0.7365776319078459,0.4440435857432611,0.4655372356272467,0.3762561384652871,0.1415686817328093
DeepLearning_grid_1_AutoML_2_20250929_105731_model_74,0.9113342456941566,0.7362819628269959,0.4810524138103988,0.5,0.3789558587238985,0.1436075428611673
DeepLearning_grid_1_AutoML_2_20250929_105731_model_42,0.9112935616469132,0.7359903748692834,0.4432414534960228,0.4741084398314779,0.3760168043311769,0.1413886371394306
DeepLearning_grid_1_AutoML_2_20250929_105731_model_45,0.9112866068203505,0.7352885279639375,0.5969419490780319,0.5,0.3794204091112125,0.1439598468501199
DeepLearning_grid_1_AutoML_2_20250929_105731_model_76,0.9112727268664932,0.7362000195208044,0.5690351391832158,0.5,0.3780505388525339,0.1429222099266912
DeepLearning_grid_3_AutoML_2_20250929_105731_model_24,0.911272602722013,0.735506168782826,0.4424213558784052,0.4626650807338733,0.3756101520452599,0.1410829863194632
DeepLearning_grid_3_AutoML_2_20250929_105731_model_84,0.9112188218100072,0.7356949561863974,0.485388886518374,0.4765301619224768,0.3947864624794612,0.155856350957047
DeepLearning_grid_2_AutoML_2_20250929_105731_model_78,0.9112162333567136,0.7352346674830942,0.442454768813167,0.4802202131427609,0.3755890501505676,0.1410671345930056
DeepLearning_grid_1_AutoML_2_20250929_105731_model_78,0.9112059025254606,0.7359682531048806,0.4512812740012211,0.4678137333644512,0.3761098986265817,0.1414586558448975
DeepLearning_grid_3_AutoML_2_20250929_105731_model_197,0.9112044271050036,0.7363614379824108,0.4464803002168128,0.4740329613454493,0.3779818580207755,0.1428702849928377
DeepLearning_grid_1_AutoML_2_20250929_105731_model_32,0.9111985997808628,0.7349858873404174,0.5963476573173611,0.5,0.3793559667256502,0.1439109494903526
DeepLearning_grid_2_AutoML_2_20250929_105731_model_1,0.9111957696862888,0.7350369134348391,0.473459172560148,0.5,0.3803944873765084,0.1446999660264366
DeepLearning_grid_1_AutoML_2_20250929_105731_model_85,0.9111798655690831,0.7360248691755833,0.454802360731625,0.5,0.3784351537127461,0.1432131655655898
DeepLearning_grid_3_AutoML_2_20250929_105731_model_205,0.9111425416571696,0.7359539249265983,0.4518950761011363,0.4626039430874549,0.3791424021781331,0.1437489611294052
DeepLearning_grid_1_AutoML_2_20250929_105731_model_33,0.9111192138199308,0.7357734872647117,0.530950339814511,0.5,0.3815868354737737,0.1456085130068888
DeepLearning_grid_1_AutoML_2_20250929_105731_model_39,0.911101544122108,0.7359197149613971,0.443004025182151,0.4817630044367839,0.3757902541424064,0.1412183151084144
DeepLearning_grid_1_AutoML_2_20250929_105731_model_24,0.911096216466555,0.7336786624770368,0.5998031431988187,0.5,0.3804114887309967,0.1447129007585332
DeepLearning_grid_1_AutoML_2_20250929_105731_model_44,0.9110623628069102,0.7360108141587164,0.4422719935734446,0.4689895894076419,0.375064549805256,0.1406734165206193
DeepLearning_grid_2_AutoML_2_20250929_105731_model_9,0.9110288285454192,0.7356072068531803,0.4447155041870256,0.4695224085279905,0.3769509290731463,0.1420920029291081
DeepLearning_1_AutoML_2_20250929_105731,0.9109969859780186,0.7350823678714967,0.4536823828586249,0.4667167018999321,0.3813995124121555,0.1454655880682299
DeepLearning_grid_2_AutoML_2_20250929_105731_model_33,0.9109608967268824,0.735612193261265,0.4853294427128864,0.5,0.3808065987061329,0.1450136656181337
DeepLearning_grid_1_AutoML_2_20250929_105731_model_7,0.9109581336042224,0.7349750833215388,0.4536008460454142,0.5,0.3796126401275627,0.1441057565446184
DeepLearning_grid_1_AutoML_2_20250929_105731_model_16,0.9109404559263142,0.7353503665630213,0.5838192523418113,0.5,0.3857395379792608,0.1487949911604536
DeepLearning_grid_3_AutoML_2_20250929_105731_model_20,0.9109343272257608,0.7369219252022704,0.4431597259244896,0.4696613626958652,0.3744940767303376,0.140245813506108
DeepLearning_grid_2_AutoML_2_20250929_105731_model_29,0.9109183387954306,0.7354170144462936,0.4479150063323681,0.4698754249385788,0.3783114828751742,0.1431195780752132
DeepLearning_grid_2_AutoML_2_20250929_105731_model_24,0.91090615319607,0.734272300151401,0.4545268862225993,0.4742309823591509,0.3818825214789977,0.145834260211157
DeepLearning_grid_3_AutoML_2_20250929_105731_model_41,0.9109048192241698,0.7338475788692872,0.4440513949597578,0.5,0.3759449334442384,0.1413345929823929
DeepLearning_grid_3_AutoML_2_20250929_105731_model_72,0.9108679204279412,0.7348814241114682,0.4460767137245872,0.4720775585213076,0.3775370270492237,0.1425342067931662
DeepLearning_grid_1_AutoML_2_20250929_105731_model_83,0.9108625123439142,0.7358698274436242,0.4464815643723059,0.4770792864086893,0.3760776495576937,0.1414343984968394
DeepLearning_grid_3_AutoML_2_20250929_105731_model_22,0.9108359160087324,0.7344865527181186,0.4459834875701503,0.4810670614817126,0.3773487542325784,0.1423920823208788
DeepLearning_grid_1_AutoML_2_20250929_105731_model_43,0.910820004680454,0.7349763388134286,0.4442895562888723,0.4793794740292302,0.3761620737988171,0.1414979057646267
DeepLearning_grid_3_AutoML_2_20250929_105731_model_42,0.9108114310954052,0.7355784528427568,0.4438404167127311,0.4681326481046005,0.3758673589762488,0.1412762715437803
