model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
XGBoost_grid_1_AutoML_1_20250925_24545_model_1,0.9031223090465051,0.72382960686476,0.4548826730299422,0.4629325408147688,0.3813409172826996,0.1454208951940107
XGBoost_grid_1_AutoML_1_20250925_24545_model_16,0.9029070418953108,0.7232945323117067,0.4560066620775435,0.4772588383389671,0.3819303812043225,0.145870816086879
XGBoost_grid_1_AutoML_1_20250925_24545_model_6,0.9029048493370646,0.7237463250996475,0.4550556757756629,0.4592631653537254,0.3813871216662616,0.1454561365728758
XGBoost_grid_1_AutoML_1_20250925_24545_model_7,0.9026280777574464,0.720674809149294,0.4581540425832628,0.4619310328970061,0.3830206285755568,0.1467048019144146
XGBoost_grid_1_AutoML_1_20250925_24545_model_5,0.9025367667308556,0.7229078669736851,0.4560964665247291,0.4563185292649872,0.3819849649541347,0.1459125134510115
XGBoost_grid_1_AutoML_1_20250925_24545_model_23,0.9023555209621826,0.7204845895292382,0.4576427531002093,0.4674762052870235,0.3827480522177989,0.1464960714765188
GBM_grid_1_AutoML_1_20250925_24545_model_12,0.9019665071982272,0.7212969566062859,0.4583651172080732,0.4629998720567702,0.383055739653249,0.1467316996812977
XGBoost_grid_1_AutoML_1_20250925_24545_model_8,0.9018343918661124,0.7192258852054877,0.4590885639073276,0.478925367486953,0.3835338759069627,0.1470982339682174
XGBoost_grid_1_AutoML_1_20250925_24545_model_17,0.9017987828596624,0.7221627540829718,0.4563882508844195,0.4759211827786009,0.3820436665309672,0.1459573631364248
GBM_grid_1_AutoML_1_20250925_24545_model_14,0.90177800236601,0.7219619316031088,0.4572796773595045,0.4557655007414758,0.3824933161319076,0.1463011368855834
GBM_grid_1_AutoML_1_20250925_24545_model_21,0.9017074513273372,0.7207990382959577,0.4580636019880072,0.4516327587312778,0.3829205966162454,0.1466281833129413
GBM_grid_1_AutoML_1_20250925_24545_model_16,0.9016875319588514,0.7213075440549597,0.4584256421042691,0.4557206697542975,0.3830033051502469,0.1466915317560131
GBM_grid_1_AutoML_1_20250925_24545_model_43,0.9009599923941588,0.720326502122406,0.4586968922602975,0.4462592971900541,0.3831894909886424,0.1468341860041349
GBM_grid_1_AutoML_1_20250925_24545_model_6,0.9009377170158084,0.7196679381570941,0.4595928049246837,0.4556607820897478,0.3835027321414485,0.1470743455599556
GBM_grid_1_AutoML_1_20250925_24545_model_20,0.90082366028755,0.7183891993598709,0.459373437151014,0.4710709754510816,0.3835013309416071,0.147073270833984
XGBoost_grid_1_AutoML_1_20250925_24545_model_15,0.9008015074764852,0.7191823487535183,0.5708610553202939,0.4616918212837431,0.4405704849079894,0.1941023521720609
XGBoost_grid_1_AutoML_1_20250925_24545_model_20,0.9007174861769908,0.7208571228578949,0.5948349652120556,0.4635004564931836,0.4522454256264457,0.204525925000045
GBM_grid_1_AutoML_1_20250925_24545_model_19,0.9006838717442315,0.7204282310142465,0.4581729005540293,0.462603667227149,0.3828656544310592,0.1465861093429233
XGBoost_grid_1_AutoML_1_20250925_24545_model_12,0.900574878059951,0.7190149530220878,0.4581371942936519,0.4659292819456691,0.3827023794713431,0.1464611112530279
GBM_grid_1_AutoML_1_20250925_24545_model_1,0.9005581258424027,0.7208765254748963,0.4581724129285037,0.4541886335678466,0.382839721672782,0.1465662524904931
GBM_grid_1_AutoML_1_20250925_24545_model_15,0.9002262251647323,0.720231970229882,0.4584875732049771,0.4635229567480067,0.3829406054066251,0.1466435072691925
XGBoost_grid_1_AutoML_1_20250925_24545_model_9,0.900173171152935,0.7174085427056532,0.4606662613150993,0.472886884715506,0.3840138060522548,0.1474666032387387
XGBoost_grid_1_AutoML_1_20250925_24545_model_2,0.9000783054539329,0.7185667047948382,0.4595584778936171,0.4690080719510066,0.3836222008683614,0.1471659929990854
GBM_grid_1_AutoML_1_20250925_24545_model_13,0.8996568854880044,0.7184917450417838,0.4598029571135132,0.4671101138121451,0.3835552861454674,0.1471146575301314
GBM_5_AutoML_1_20250925_24545,0.8996361506028001,0.7184967844824187,0.4588475245210107,0.4430309575458103,0.3830219849124454,0.1467058409262695
GBM_grid_1_AutoML_1_20250925_24545_model_18,0.8994857984754588,0.7163444347638553,0.4610243262030709,0.4754278723971712,0.3842510559418869,0.1476488739924551
GBM_2_AutoML_1_20250925_24545,0.8993872262265874,0.7194943163277537,0.4594797632801048,0.4596964185481375,0.383202791741959,0.1468443795988312
GBM_grid_1_AutoML_1_20250925_24545_model_7,0.8993325158387063,0.7154647672670732,0.4642371013426687,0.4586052486560181,0.3853837717938938,0.148520651562088
