model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
XGBoost_lr_search_selection_AutoML_1_20250925_30304_select_grid_model_2,0.8999830578028516,0.7168536494349955,0.4594935519885264,0.4755921396685133,0.3835888952098928,0.147140440528346
XGBoost_grid_1_AutoML_1_20250925_30304_model_16,0.8997539434093581,0.7149439480124523,0.4605103045645978,0.4904342478289643,0.3841555044145617,0.1475754515720063
XGBoost_grid_1_AutoML_1_20250925_30304_model_8,0.8989444135935439,0.7133598067838391,0.4617572113427559,0.4904865223935944,0.3847614266953524,0.1480413554726431
XGBoost_grid_1_AutoML_1_20250925_30304_model_15,0.8988692130616897,0.7126237556395887,0.5954452629121407,0.4850458991328371,0.4523521609092189,0.2046224774792399
XGBoost_grid_1_AutoML_1_20250925_30304_model_1,0.89870781563816,0.7146687359914724,0.4600765774765854,0.4672667679835675,0.3837538749051228,0.1472670365046966
GBM_grid_1_AutoML_1_20250925_30304_model_14,0.8986676500058113,0.7132074369075133,0.4613791587835614,0.4706148829569107,0.3844849490688182,0.1478286760604517
GBM_grid_1_AutoML_1_20250925_30304_model_19,0.8982086455565373,0.7131366998050214,0.4610212169188069,0.4642326394429405,0.3842492048407377,0.1476474514207392
XGBoost_grid_1_AutoML_1_20250925_30304_model_23,0.898110799455499,0.7114929174899937,0.4622540143014618,0.4894401834886534,0.3848889632274477,0.1481395140142995
GBM_grid_1_AutoML_1_20250925_30304_model_1,0.8980852720233925,0.7136919012983479,0.4613660553705453,0.489851275473178,0.3843881958397776,0.1477542851009592
GBM_grid_1_AutoML_1_20250925_30304_model_22,0.897935368065266,0.7132033991905518,0.4615668178095906,0.4710109182640641,0.3845290278341525,0.1478625732470784
XGBoost_grid_1_AutoML_1_20250925_30304_model_17,0.8978345434652444,0.7144463379247928,0.4601917056843792,0.4755846960910616,0.3836549551250062,0.1471911245919705
XGBoost_grid_1_AutoML_1_20250925_30304_model_5,0.8977782037764438,0.7136028403581955,0.4606119329441621,0.4490618272173378,0.3838854376430324,0.1473680292343825
GBM_grid_1_AutoML_1_20250925_30304_model_21,0.8976509091083644,0.7123261666528532,0.4616993348412628,0.4647707808115484,0.3845096821484358,0.1478476956658911
XGBoost_grid_1_AutoML_1_20250925_30304_model_12,0.897635934390448,0.7111424066710236,0.4620633192312109,0.4777519791979288,0.3847761135929241,0.1480526575916748
XGBoost_grid_1_AutoML_1_20250925_30304_model_6,0.8975876920754887,0.7142238473913127,0.4604299014111143,0.4606752566886091,0.3838312577695904,0.1473264344409857
XGBoost_grid_1_AutoML_1_20250925_30304_model_7,0.8972985198139916,0.7101839266378267,0.4634482473402491,0.4843434904928872,0.3854682875975778,0.1485858007434089
GBM_5_AutoML_1_20250925_30304,0.8972638706397146,0.7106800418455423,0.4629251331799291,0.4777071482107504,0.3851818336233437,0.1483650449534412
GBM_grid_1_AutoML_1_20250925_30304_model_15,0.8970790957103905,0.7126560573752799,0.4617082446397806,0.4763992669601913,0.3844999550274686,0.1478402154161253
XGBoost_grid_1_AutoML_1_20250925_30304_model_20,0.8970254430934921,0.7134690408976653,0.6082972075079094,0.47895514179676,0.4583937742433825,0.2101248522650931
GBM_grid_1_AutoML_1_20250925_30304_model_20,0.8969178253390534,0.7104051380472313,0.4636609553156595,0.4561913103584362,0.385448842393057,0.1485708101021477
GBM_grid_1_AutoML_1_20250925_30304_model_16,0.8966335585033347,0.7104188231337264,0.4629514223272167,0.4844405960446956,0.3851052658652777,0.1483060657971663
GBM_grid_1_AutoML_1_20250925_30304_model_13,0.8965946823530574,0.7109562401790626,0.4627512790541255,0.4775726552492154,0.3849836770456688,0.1482124315916037
GBM_2_AutoML_1_20250925_30304,0.8963796497765106,0.7118368015215845,0.4624780897232572,0.4777519791979288,0.3847188058603507,0.1480085595826142
GBM_grid_1_AutoML_1_20250925_30304_model_12,0.8963511414964807,0.7096165965824826,0.4636720860418199,0.476593478063808,0.3854573870526665,0.1485773972334691
GBM_3_AutoML_1_20250925_30304,0.8962555885859852,0.7103013440635096,0.463727492087358,0.4857633644501583,0.3853718749893953,0.1485114820328421
GBM_grid_1_AutoML_1_20250925_30304_model_18,0.8962147207304745,0.7124121453663176,0.4624538859356704,0.4655256335385963,0.3847593788634653,0.1480397796233996
GLM_1_AutoML_1_20250925_30304,0.8956266614515032,0.7110029205022538,0.4619194816463246,0.452895469949723,0.3843621176781424,0.1477342375060262
GBM_grid_1_AutoML_1_20250925_30304_model_6,0.8955103487114501,0.7086541558879915,0.4638220165198661,0.4754202592972517,0.3853279148748741,0.1484776019818182
XGBoost_3_AutoML_1_20250925_30304,0.8954750338380771,0.7098791868851747,0.6109285637453489,0.4821462635537451,0.4599343055408196,0.211539565413316
XGBoost_grid_1_AutoML_1_20250925_30304_model_2,0.8953943405856262,0.7093384410350154,0.4634238979484911,0.4772437816615957,0.3851609100645956,0.1483489266417875
GBM_grid_1_AutoML_1_20250925_30304_model_7,0.8953085732503789,0.7062219245750156,0.4656072573025844,0.4724458488987065,0.386223707294315,0.1491687520761647
XGBoost_grid_1_AutoML_1_20250925_30304_model_18,0.8949882188443506,0.7073305090479227,0.4640681546607823,0.4723412997694463,0.3853643720869716,0.1485056992739859
DeepLearning_grid_1_AutoML_1_20250925_30304_model_7,0.8947629650977157,0.7085124196937395,0.4713903643269632,0.5,0.387362819498403,0.1500499539297524
XGBoost_grid_1_AutoML_1_20250925_30304_model_9,0.8945775264940168,0.705300323384142,0.4663119281741889,0.490710677329486,0.3865978011932831,0.1494578598874812
XGBoost_grid_1_AutoML_1_20250925_30304_model_11,0.8944995516103437,0.7045458559354302,0.598285247061924,0.469157621589913,0.4541156681059409,0.206221040019305
DeepLearning_grid_3_AutoML_1_20250925_30304_model_1,0.8942580740678024,0.7103577179896349,0.4645154144620969,0.4954861098375521,0.3850664727347446,0.1482761884243778
XGBoost_grid_1_AutoML_1_20250925_30304_model_47,0.8941331476495685,0.7071945674398442,0.610100730643621,0.4957253214508152,0.4594201818690632,0.211066903508603
GBM_grid_1_AutoML_1_20250925_30304_model_17,0.8934180500777478,0.7052761587269072,0.4672342416328814,0.4788654798224033,0.3868705688548689,0.1496688370460898
GBM_grid_1_AutoML_1_20250925_30304_model_5,0.8929733922100843,0.7035597899733748,0.4675969828738847,0.4693892201032564,0.3868323440682535,0.1496392624173396
GBM_4_AutoML_1_20250925_30304,0.8929713644601537,0.7053015716859505,0.4688007454791636,0.4763395488181093,0.3869780864503984,0.149752039392812
