threshold,precision,recall,tpr,fpr,specificity,f1
0.0000,0.216110,1.000000,1.000000,1.000000,0.000000,0.355412
0.0100,0.216110,1.000000,1.000000,1.000000,0.000000,0.355412
0.0200,0.217334,1.000000,1.000000,0.992816,0.007184,0.357066
0.0300,0.221657,0.997368,0.997368,0.965530,0.034470,0.362705
0.0400,0.228036,0.993419,0.993419,0.927141,0.072859,0.370927
0.0500,0.233911,0.984470,0.984470,0.888897,0.111103,0.378007
0.0600,0.240611,0.978152,0.978152,0.851089,0.148911,0.386218
0.0700,0.246822,0.971045,0.971045,0.816909,0.183091,0.393598
0.0800,0.253424,0.959463,0.959463,0.779245,0.220755,0.400946
0.0900,0.261703,0.941827,0.941827,0.732511,0.267489,0.409593
0.1000,0.270435,0.920505,0.920505,0.684615,0.315385,0.418051
0.1100,0.281742,0.898921,0.898921,0.631785,0.368215,0.429020
0.1200,0.291211,0.868650,0.868650,0.582874,0.417126,0.436191
0.1300,0.301403,0.842327,0.842327,0.538244,0.461756,0.443951
0.1400,0.310862,0.818110,0.818110,0.500000,0.500000,0.450533
0.1500,0.319842,0.790471,0.790471,0.463425,0.536575,0.455414
0.1600,0.328959,0.765465,0.765465,0.430479,0.569521,0.460163
0.1700,0.336781,0.737036,0.737036,0.400145,0.599855,0.462313
0.1800,0.345864,0.712029,0.712029,0.371263,0.628737,0.465577
0.1900,0.357250,0.692024,0.692024,0.343251,0.656749,0.471231
0.2000,0.364098,0.660437,0.660437,0.317997,0.682003,0.469411
0.2100,0.372910,0.634114,0.634114,0.293977,0.706023,0.469636
0.2200,0.384692,0.612530,0.612530,0.270102,0.729898,0.472583
0.2300,0.394927,0.590155,0.590155,0.249274,0.750726,0.473195
0.2400,0.402095,0.565938,0.565938,0.232003,0.767997,0.470151
0.2500,0.412080,0.545933,0.545933,0.214731,0.785269,0.469656
0.2600,0.418124,0.522243,0.522243,0.200363,0.799637,0.464419
0.2700,0.427037,0.502237,0.502237,0.185776,0.814224,0.461594
0.2800,0.437560,0.483285,0.483285,0.171263,0.828737,0.459287
0.2900,0.443325,0.463280,0.463280,0.160377,0.839623,0.453083
0.3000,0.453592,0.443801,0.443801,0.147388,0.852612,0.448643
0.3100,0.463631,0.426165,0.426165,0.135922,0.864078,0.444109
0.3200,0.470227,0.403264,0.403264,0.125254,0.874746,0.434179
0.3300,0.480876,0.387207,0.387207,0.115239,0.884761,0.428988
0.3400,0.490776,0.371150,0.371150,0.106168,0.893832,0.422662
0.3500,0.500185,0.355620,0.355620,0.097968,0.902032,0.415692
0.3600,0.502558,0.336141,0.336141,0.091727,0.908273,0.402839
0.3700,0.509672,0.319031,0.319031,0.084615,0.915385,0.392424
0.3800,0.516764,0.304291,0.304291,0.078447,0.921553,0.383035
0.3900,0.521100,0.289287,0.289287,0.073295,0.926705,0.372038
0.4000,0.530883,0.273756,0.273756,0.066691,0.933309,0.361237
0.4100,0.536304,0.256646,0.256646,0.061176,0.938824,0.347160
0.4200,0.547661,0.243485,0.243485,0.055443,0.944557,0.337099
0.4300,0.553411,0.226375,0.226375,0.050363,0.949637,0.321315
0.4400,0.563025,0.211635,0.211635,0.045283,0.954717,0.307633
0.4500,0.566641,0.195841,0.195841,0.041292,0.958708,0.291080
0.4600,0.576087,0.181364,0.181364,0.036792,0.963208,0.275876
0.4700,0.585987,0.169518,0.169518,0.033019,0.966981,0.262964
0.4800,0.591775,0.155304,0.155304,0.029536,0.970464,0.246038
0.4900,0.614431,0.143459,0.143459,0.024819,0.975181,0.232608
0.5000,0.618388,0.129245,0.129245,0.021988,0.978012,0.213804
0.5100,0.639831,0.119242,0.119242,0.018505,0.981495,0.201021
0.5200,0.642187,0.108186,0.108186,0.016618,0.983382,0.185177
0.5300,0.653571,0.096341,0.096341,0.014078,0.985922,0.167928
0.5400,0.658635,0.086339,0.086339,0.012337,0.987663,0.152665
0.5500,0.663657,0.077389,0.077389,0.010813,0.989187,0.138614
0.5600,0.665810,0.068176,0.068176,0.009434,0.990566,0.123687
0.5700,0.660714,0.058436,0.058436,0.008273,0.991727,0.107376
0.5800,0.656250,0.049750,0.049750,0.007184,0.992816,0.092488
0.5900,0.657258,0.042906,0.042906,0.006168,0.993832,0.080553
0.6000,0.641509,0.035799,0.035799,0.005515,0.994485,0.067814
0.6100,0.620112,0.029218,0.029218,0.004935,0.995065,0.055807
0.6200,0.640000,0.025270,0.025270,0.003919,0.996081,0.048620
0.6300,0.642857,0.021321,0.021321,0.003266,0.996734,0.041274
0.6400,0.679612,0.018426,0.018426,0.002395,0.997605,0.035879
0.6500,0.703704,0.015004,0.015004,0.001742,0.998258,0.029381
0.6600,0.739130,0.013425,0.013425,0.001306,0.998694,0.026370
0.6700,0.791667,0.010003,0.010003,0.000726,0.999274,0.019756
0.6800,0.900000,0.009476,0.009476,0.000290,0.999710,0.018755
0.6900,0.882353,0.007897,0.007897,0.000290,0.999710,0.015654
0.7000,0.920000,0.006054,0.006054,0.000145,0.999855,0.012029
0.7100,0.944444,0.004475,0.004475,0.000073,0.999927,0.008908
0.7200,1.000000,0.003422,0.003422,0.000000,1.000000,0.006821
0.7300,1.000000,0.002632,0.002632,0.000000,1.000000,0.005251
0.7400,1.000000,0.002369,0.002369,0.000000,1.000000,0.004727
0.7500,1.000000,0.001579,0.001579,0.000000,1.000000,0.003154
0.7600,1.000000,0.001316,0.001316,0.000000,1.000000,0.002629
0.7700,1.000000,0.001053,0.001053,0.000000,1.000000,0.002104
0.7800,1.000000,0.000526,0.000526,0.000000,1.000000,0.001052
0.7900,1.000000,0.000263,0.000263,0.000000,1.000000,0.000526
0.8000,1.000000,0.000263,0.000263,0.000000,1.000000,0.000526
0.8100,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8200,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8300,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8400,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8600,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8700,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8800,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8900,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9100,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9200,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9300,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9400,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9600,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9700,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9800,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9900,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
1.0000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
