model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
GBM_grid_1_AutoML_1_20250925_21729_model_29,0.9000330454420833,0.6729155602761551,0.4572995994572122,0.5,0.3815383247455352,0.1455714932496295,379,0.026936,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_53,0.8992502130455695,0.6754839955583449,0.6037976357734827,0.4962825278810409,0.45655888821124,0.2084460184046835,732,0.018265,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_20,0.8990399492860033,0.6737411287597161,0.4558780497323533,0.4731633917507523,0.3804661506253624,0.1447544917716809,293,0.016263,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_7,0.8985506755848592,0.6752377733790373,0.4615717037681896,0.4962825278810409,0.3845831659718871,0.14790421154896,1411,0.013926,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_34,0.8984986340212996,0.6724601297092003,0.4598253841816346,0.4944237918215613,0.3832508747185994,0.1468812329725716,1331,0.010828,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_50,0.8982153627614088,0.678964901269734,0.4559704932642859,0.4911392201355027,0.3808599220778038,0.1450542802451107,815,0.008636,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_29,0.8975966073324959,0.6712547675372954,0.6217662045327903,0.4915721205684031,0.4649064296110526,0.2161379882936966,1080,0.007157,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_33,0.8973337905206592,0.6732551215822592,0.4608150774069104,0.4948566922544617,0.3828793142052005,0.1465965692462447,866,0.013698,GBM
GBM_1_AutoML_1_20250925_21729,0.8971103289817958,0.6674391284056712,0.4629209482854922,0.4944237918215613,0.3834078675917608,0.1470015929312612,3823,0.013405,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_14,0.896811945048952,0.6733597257760827,0.4575965874861065,0.4981412639405205,0.3813740465693274,0.1454461633966635,546,0.012175,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_16,0.8965933149584162,0.679644023881942,0.4563993163535186,0.4929979561949822,0.3805936846021538,0.1448515527590438,450,0.012348,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_32,0.8963916786599541,0.67412092244806,0.4560350364810695,0.4925650557620817,0.3803256090735003,0.144647568917129,290,0.010908,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_19,0.8962413822434914,0.669624551408938,0.4581775770177072,0.4944237918215613,0.3815802144922037,0.1456034600919162,441,0.011442,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_8,0.8961996646755518,0.6746149761019649,0.4573239575726553,0.4934308566278826,0.3813460804026387,0.1454248330384558,1368,0.009539,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_15,0.8961672361129128,0.6724778319573859,0.5894084859477113,0.4952895926873621,0.4492809262872894,0.2018533507255648,3142,0.012539,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_16,0.8958087030206304,0.6748611982812727,0.4592558363094564,0.4948566922544617,0.3826527609294732,0.1464231354469486,1267,0.009923,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_6,0.8946130818215714,0.672749802861327,0.4621257071452667,0.4915721205684031,0.3829949847992956,0.1466851583814126,714,0.01411,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_7,0.8939945957413102,0.6723683998776935,0.4591656852051844,0.4981412639405205,0.3816151827000424,0.1456301476671867,602,0.01338,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_51,0.8931484076271506,0.6659054699946894,0.6245933234462123,0.4911392201355027,0.4661187916055425,0.2172667278878112,466,0.006666,XGBoost
DRF_1_AutoML_1_20250925_21729,0.891772539864969,0.6699496290574358,0.5070883203323385,0.4952895926873621,0.3945766768203422,0.1556907538905848,2418,0.022222,DRF
XGBoost_grid_1_AutoML_1_20250925_21729_model_5,0.8916477186645451,0.6592993128309114,0.4695520909410831,0.4981412639405205,0.387829476016253,0.1504117024670414,810,0.007877,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_21,0.8916385576798289,0.6629491945477076,0.4617472674556938,0.4962825278810409,0.3824654673769838,0.1462798337358947,503,0.014468,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_1,0.8915998097315414,0.6663464169040377,0.4642781651038718,0.4962825278810409,0.3832604474488822,0.1468885705787174,742,0.021837,GBM
GLM_1_AutoML_1_20250925_21729,0.8915892624847294,0.672168847261784,0.455294740605138,0.4792996346899692,0.3795944364043408,0.1440919361491291,2376,0.020952,GLM
XGBoost_grid_1_AutoML_1_20250925_21729_model_37,0.8915398000121729,0.6601216627238932,0.4626507424320907,0.4802925698836479,0.3836583502557154,0.1471937297209372,1067,0.007727,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_28,0.8905834769424394,0.6574486232478798,0.4734121805297649,0.4981412639405205,0.386316436905135,0.1492403894230792,606,0.01272,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_23,0.8905623270312415,0.6694620125846892,0.4610053969363609,0.4962825278810409,0.3831430892006449,0.1467986268022133,1070,0.007534,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_40,0.8901402935775536,0.6609198731875312,0.6225236658321602,0.4962825278810409,0.464809937233242,0.2160482777507703,654,0.005877,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_43,0.8900149140871646,0.65476110011426,0.6131604738571198,0.4981412639405205,0.4601060996030877,0.2116976228919664,862,0.006656,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_28,0.8898456576406855,0.6643331884967573,0.4681334383589455,0.5,0.386113086345432,0.149083315447195,662,0.011339,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_30,0.8898188100653308,0.6571492943240155,0.4815827822999156,0.4915721205684031,0.3884771526050783,0.1509144980961493,712,0.013264,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_108,0.8897710464483266,0.6646470010782278,0.4668523330050456,0.4807254703165484,0.3861079674110243,0.1490793624982726,489,0.007336,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_27,0.88956194141413,0.6572152754308888,0.4891349448934233,0.487854648449444,0.3890828118852221,0.151385434504511,955,0.013931,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_15,0.8891499920403604,0.6537005745184183,0.4670809989960088,0.4850029771962857,0.3849701706245256,0.1482020322706764,510,0.012067,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_44,0.8883058489796918,0.6569915833856355,0.4723965142836926,0.4944237918215613,0.3876048779878586,0.1502375414399827,1491,0.007714,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_22,0.8882315821218166,0.6521894462414908,0.4651717572754784,0.4962825278810409,0.383695185663814,0.1472219955015887,533,0.010964,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_10,0.8881438483122573,0.6438549059366903,0.4988053300573459,0.490146284941824,0.3935534962082829,0.1548843543777629,881,0.013019,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_49,0.8880457830160782,0.6467709490014323,0.4720097818225535,0.4981412639405205,0.3881426325218741,0.1506547031810106,538,0.006547,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_38,0.8879476907980197,0.6497578010589163,0.5548030797719797,0.4920050210013035,0.4313126800962606,0.1860306280118192,1695,0.008697,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_22,0.8878933182305185,0.6365583610936771,0.48983191589376,0.4962825278810409,0.3966974758214962,0.1573688873231465,1500,0.008677,XGBoost
