model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
GBM_2_AutoML_1_20250925_35639,0.8912156143397447,0.715655997489395,0.4871059074808827,0.4687472120821199,0.3976950834191523,0.1581613793757665
GBM_5_AutoML_1_20250925_35639,0.8912004426906704,0.7154923087547962,0.4870053549714094,0.4629865249019008,0.3976895197426568,0.158156954113145
XGBoost_3_AutoML_1_20250925_35639,0.8910064917162572,0.7155456931397364,0.5978499658653976,0.4678333982934189,0.454029646978851,0.2061429203357401
GBM_3_AutoML_1_20250925_35639,0.8907910762888767,0.714641674928325,0.488003247535428,0.4701803515594535,0.3980176520423733,0.1584180513373237
GBM_grid_1_AutoML_1_20250925_35639_model_5,0.8907573511709403,0.7150050490508411,0.4888780050138582,0.4711237496244547,0.3982690245527185,0.1586182159181739
XGBoost_grid_1_AutoML_1_20250925_35639_model_2,0.8905214505811815,0.7143221616452744,0.4864537424909372,0.4765924740561132,0.3973333034435498,0.157873754025364
XGBoost_grid_1_AutoML_1_20250925_35639_model_1,0.890277555663202,0.7138367346644728,0.4868339599780545,0.4611741744644541,0.3975657802656421,0.1580585496382287
GBM_4_AutoML_1_20250925_35639,0.8898703854427421,0.7132182619606887,0.490864152307178,0.466624405944045,0.3989529422454523,0.1591634501263032
GBM_grid_1_AutoML_1_20250925_35639_model_6,0.8895174415417649,0.7120982267941277,0.4898506540674601,0.4621991414254571,0.3990684108820073,0.1592555965638906
GBM_1_AutoML_1_20250925_35639,0.8888906162261796,0.7115996546662631,0.4968391310856672,0.4740723497837977,0.4008460569714238,0.1606775613895379
GBM_grid_1_AutoML_1_20250925_35639_model_8,0.8887815169708534,0.7106185702933738,0.4918886122369156,0.4733348732015575,0.3998296468340833,0.1598637464874678
GBM_grid_1_AutoML_1_20250925_35639_model_1,0.888751025999142,0.7103597747893201,0.4901316638486757,0.464175244245304,0.39920652165202,0.1593658469295047
GBM_grid_1_AutoML_1_20250925_35639_model_2,0.8886169597273103,0.7103249836225799,0.4927660352148365,0.4698514828834165,0.4000701288913373,0.1600561080311312
GBM_grid_1_AutoML_1_20250925_35639_model_7,0.8878227783755543,0.7091827667108523,0.4958526117159911,0.4718781952942082,0.4010297344428213,0.1608248479072797
DeepLearning_grid_2_AutoML_1_20250925_35639_model_1,0.8869733715404361,0.7086707711505049,0.4863440296360711,0.4760696267540868,0.3971001190460828,0.1576885045464131
GBM_grid_1_AutoML_1_20250925_35639_model_10,0.8864563653665409,0.7059791158450611,0.4974816548575745,0.4764900479284704,0.4017128417163548,0.1613732071998291
XGBoost_2_AutoML_1_20250925_35639,0.8864452548545214,0.7056209365921667,0.5944514979563295,0.479034611775273,0.4527324535955252,0.2049666745386244
DeepLearning_grid_3_AutoML_1_20250925_35639_model_1,0.8863552432345686,0.7090304819112486,0.4864599846340572,0.4702583299829228,0.3971441450215587,0.1577234719249048
DeepLearning_1_AutoML_1_20250925_35639,0.8862576699556848,0.7075565036142933,0.4847849619545183,0.4741914888096049,0.3964779581469319,0.1571947712963602
GLM_1_AutoML_1_20250925_35639,0.8859228764753818,0.7076273782204916,0.4911158102211234,0.4767417208544383,0.3990273290143789,0.1592228093003493
DeepLearning_grid_1_AutoML_1_20250925_35639_model_1,0.8847714571901061,0.7095243909343648,0.5021122021571202,0.4752336618002639,0.398105326562009,0.1584878510370438
DeepLearning_grid_1_AutoML_1_20250925_35639_model_7,0.883746698903771,0.7094233540798012,0.5041955215983929,0.4721115737158386,0.3971228131551286,0.1577065287282432
DeepLearning_grid_3_AutoML_1_20250925_35639_model_2,0.8836003614842723,0.702639297248249,0.4915025481089001,0.5,0.3993750413212984,0.1595004236303887
DRF_1_AutoML_1_20250925_35639,0.8817163582040951,0.6974036113895348,0.5160838412321092,0.479264774384791,0.4086137181647469,0.1669651706724191
GBM_grid_1_AutoML_1_20250925_35639_model_9,0.8816139663034671,0.697626150715665,0.5167824947768695,0.4745782887277632,0.4073273060144555,0.1659155342249938
DeepLearning_grid_2_AutoML_1_20250925_35639_model_2,0.8813883652589581,0.7038776586109443,0.5058463706729555,0.4758644079680674,0.4037356901980921,0.1630025075397298
XGBoost_1_AutoML_1_20250925_35639,0.8812637834602923,0.6959184652659133,0.5887396815099663,0.4782628416047921,0.449991801623666,0.2024926215285128
DeepLearning_grid_1_AutoML_1_20250925_35639_model_6,0.8810976430825711,0.703819680049879,0.5141357857119164,0.5,0.4014949348453341,0.161198182706459
DeepLearning_grid_1_AutoML_1_20250925_35639_model_5,0.8805700306223754,0.7016221078262223,0.5059154038263968,0.4835034122932921,0.4015354568139473,0.1612307230787853
GBM_grid_1_AutoML_1_20250925_35639_model_4,0.880370315132649,0.6946450502240396,0.5240143964746626,0.4765366509042164,0.4094179872701941,0.1676230883003767
DeepLearning_grid_1_AutoML_1_20250925_35639_model_2,0.8803669289280589,0.7071699927516522,0.5099460533866084,0.470059997458207,0.4001534582579276,0.160122790155779
DeepLearning_grid_1_AutoML_1_20250925_35639_model_4,0.8802908868984585,0.70028254076163,0.501545944841879,0.5,0.4001046700030381,0.16008374695824
GBM_grid_1_AutoML_1_20250925_35639_model_3,0.8798663406799604,0.6942658136936306,0.521719649758673,0.4793493910099014,0.408487733291111,0.1668622282493098
DeepLearning_grid_1_AutoML_1_20250925_35639_model_3,0.8788941722899782,0.6994971489888743,0.5132860827768141,0.499828035939472,0.4012759959681399,0.1610224249402226
GBM_grid_1_AutoML_1_20250925_35639_model_11,0.8783484217649462,0.6904324296745513,0.5171574177934902,0.4814856142573697,0.4088383830934936,0.1671488234905022
XRT_1_AutoML_1_20250925_35639,0.8756851417428196,0.6813108307660041,0.5264922256198604,0.4911856245816267,0.4149838104907365,0.1722115629694115
XGBoost_grid_1_AutoML_1_20250925_35639_model_5,0.8753974575319052,0.6865581761931863,0.5401546376826161,0.4859951096231277,0.4204727683332769,0.1767973489098496
GBM_grid_1_AutoML_1_20250925_35639_model_23,0.873080635245334,0.681274993927034,0.5306722604489518,0.4874034045008278,0.4165403981096776,0.1735059032573687
