threshold,precision,recall,tpr,fpr,specificity,f1
0.0000,0.220569,1.000000,1.000000,1.000000,0.000000,0.361420
0.0100,0.220593,1.000000,1.000000,0.999859,0.000141,0.361452
0.0200,0.222268,0.999465,0.999465,0.989665,0.010335,0.363662
0.0300,0.226375,0.997344,0.997344,0.964525,0.035475,0.368996
0.0400,0.231628,0.991908,0.991908,0.931149,0.068851,0.375556
0.0500,0.238054,0.983103,0.983103,0.890458,0.109542,0.383295
0.0600,0.245347,0.970162,0.970162,0.844456,0.155544,0.391649
0.0700,0.253279,0.952801,0.952801,0.794929,0.205071,0.400180
0.0800,0.261582,0.930841,0.930841,0.743595,0.256405,0.408397
0.0900,0.270595,0.906618,0.906618,0.691576,0.308424,0.416792
0.1000,0.279669,0.876495,0.876495,0.638855,0.361145,0.424038
0.1100,0.289589,0.845819,0.845819,0.587179,0.412821,0.431458
0.1200,0.298785,0.810723,0.810723,0.538433,0.461567,0.436647
0.1300,0.307686,0.772722,0.772722,0.492023,0.507977,0.440122
0.1400,0.316827,0.735469,0.735469,0.448785,0.551215,0.442873
0.1500,0.326009,0.697146,0.697146,0.407863,0.592137,0.444265
0.1600,0.334895,0.659965,0.659965,0.370910,0.629090,0.444322
0.1700,0.343599,0.622444,0.622444,0.336499,0.663501,0.442778
0.1800,0.352154,0.585316,0.585316,0.304717,0.695283,0.439740
0.1900,0.360541,0.550737,0.550737,0.276420,0.723580,0.435791
0.2000,0.368534,0.515605,0.515605,0.250009,0.749991,0.429838
0.2100,0.375676,0.481810,0.481810,0.226589,0.773411,0.422175
0.2200,0.382790,0.450439,0.450439,0.205530,0.794470,0.413868
0.2300,0.390680,0.420797,0.420797,0.185722,0.814278,0.405180
0.2400,0.398565,0.394132,0.394132,0.168305,0.831695,0.396336
0.2500,0.405350,0.369232,0.369232,0.153284,0.846716,0.386449
0.2600,0.411780,0.344937,0.344937,0.139438,0.860562,0.375406
0.2700,0.417770,0.321837,0.321837,0.126929,0.873071,0.363581
0.2800,0.423019,0.299717,0.299717,0.115686,0.884314,0.350850
