model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
XGBoost_grid_1_AutoML_1_20250925_53301_model_23,0.8850312306295277,0.703349849490307,0.4909447285414476,0.4775019450636076,0.3992904437045573,0.1594328584337822
GBM_grid_1_AutoML_1_20250925_53301_model_18,0.8847419711805802,0.7028086761379804,0.4920223647028804,0.4742339252168346,0.3999265908626923,0.1599412780790552
XGBoost_grid_1_AutoML_1_20250925_53301_model_16,0.8847180615047844,0.702799763430739,0.4910574343583263,0.4732720149525595,0.3993487270762836,0.159479405817448
XGBoost_grid_1_AutoML_1_20250925_53301_model_12,0.8847160733725251,0.7032559056134324,0.4910779745731908,0.4719258867446359,0.3993432636169486,0.1594750421962357
GBM_grid_1_AutoML_1_20250925_53301_model_22,0.8846219714441895,0.7024411933970205,0.4919925639012073,0.4777012668391401,0.3999027615457223,0.1599222186918948
GBM_5_AutoML_1_20250925_53301,0.8846188226427563,0.7023169640062786,0.4922843419393233,0.4721229130997337,0.4000608969584528,0.1600487212752018
GBM_grid_1_AutoML_1_20250925_53301_model_13,0.8846137868145212,0.7025811358734662,0.492091137162671,0.4758238012266734,0.3999137139841713,0.1599309786326136
GBM_grid_1_AutoML_1_20250925_53301_model_15,0.8846137179276674,0.7024330206302122,0.492080094561269,0.4714998055019079,0.3999431856743798,0.1599545517673714
GBM_grid_1_AutoML_1_20250925_53301_model_14,0.8845781531067922,0.702392492336818,0.4919202738013186,0.4757155469476824,0.3998646834790493,0.1598917650938002
GBM_3_AutoML_1_20250925_53301,0.8845754370244949,0.7026240082264444,0.4923930308671456,0.4761116085242376,0.4000340875466021,0.1600272711992425
XGBoost_3_AutoML_1_20250925_53301,0.884556901295259,0.7025689255013722,0.6146416502780596,0.4708355869136766,0.4619336479723655,0.2133826951290573
GBM_2_AutoML_1_20250925_53301,0.884542792171842,0.7024200193160627,0.4921489134717062,0.4740596161239395,0.3999475471159991,0.1599580404441043
XGBoost_grid_1_AutoML_1_20250925_53301_model_2,0.8844697111361429,0.7025111492096844,0.4914791313207635,0.4721691495447459,0.3995827947442162,0.1596664098555984
XGBoost_grid_1_AutoML_1_20250925_53301_model_8,0.8844442631305984,0.7023989630808157,0.4912695803353946,0.4738733945389991,0.3993467008247731,0.1594777874596308
