model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
GBM_grid_1_AutoML_1_20250925_84535_model_22,0.8952533573375309,0.7245083516064296,0.4828783301338037,0.4737577386321731,0.3961824524639514,0.1569605356403511,60612,0.00462,GBM
GBM_grid_1_AutoML_1_20250925_84535_model_13,0.8952429403675376,0.7243971707792967,0.4827001453159781,0.4725740758842379,0.3960803702096264,0.1568796596653947,56134,0.004897,GBM
GBM_grid_1_AutoML_1_20250925_84535_model_18,0.8952013601565053,0.7243917502935059,0.4829737516467963,0.4722472353217666,0.3962396107332245,0.1570058291140172,52539,0.00418,GBM
GBM_5_AutoML_1_20250925_84535,0.8951971381359894,0.7243535838477275,0.4830455935344049,0.4672241928067916,0.3962836897952912,0.1570407627977706,63240,0.003594,GBM
GBM_2_AutoML_1_20250925_84535,0.8951105140319932,0.7240418579009676,0.4831145629998939,0.473881606217127,0.396292766274359,0.1570479566013838,67120,0.003636,GBM
GBM_grid_1_AutoML_1_20250925_84535_model_15,0.8950747429943375,0.7240269691793635,0.4833231120179054,0.4691099004621123,0.3963720886363201,0.1571108326499188,53499,0.004652,GBM
GBM_grid_1_AutoML_1_20250925_84535_model_14,0.8950447930202234,0.7240034021912186,0.4830541233927891,0.4722635017125385,0.3962381292693386,0.1570046550868651,70120,0.003709,GBM
XGBoost_grid_1_AutoML_1_20250925_84535_model_16,0.8949847148379373,0.7235540256447381,0.482452425149234,0.4781281388849546,0.3958977494317403,0.156735028005117,58118,0.001371,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_12,0.894925869053895,0.7237706825521262,0.4819810329160909,0.4702146755124203,0.3956768466788573,0.1565601669977239,46578,0.001185,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_20,0.8949149295869296,0.7238580652856694,0.593679525225014,0.4749611012779288,0.4522439592441337,0.2045245986728096,34985,0.001026,XGBoost
GBM_3_AutoML_1_20250925_84535,0.8948988644827656,0.7238373736355903,0.4831292032387246,0.4712597777611165,0.3962454531753173,0.1570104591621125,69489,0.003516,GBM
XGBoost_grid_1_AutoML_1_20250925_84535_model_17,0.894812118238948,0.723498033506539,0.4830283441341445,0.4701596431636101,0.3961497175739324,0.1569345987339064,31007,0.000849,XGBoost
GBM_grid_1_AutoML_1_20250925_84535_model_17,0.8947518693567847,0.723154110249398,0.484559944947433,0.4708423739511152,0.3969168238245618,0.1575429650349782,48276,0.003891,GBM
XGBoost_grid_1_AutoML_1_20250925_84535_model_24,0.89471564258791,0.7231158891193186,0.5987825475648044,0.4636220107463709,0.4550149287776548,0.2070385854105343,35066,0.001102,XGBoost
XGBoost_3_AutoML_1_20250925_84535,0.8947090734328204,0.7234463514918318,0.5949860419941468,0.4729035976450839,0.4529014081585325,0.2051196855119816,33694,0.001034,XGBoost
GBM_grid_1_AutoML_1_20250925_84535_model_16,0.894707399417951,0.7233699636380361,0.4841896916870848,0.4700501323269336,0.3969251560408744,0.1575495794980724,32221,0.004161,GBM
