feature,relative_importance
num__dti,0.17581087350845337
cat__grade_A,0.14732198417186737
cat__term_ 60 months,0.14001628756523132
cat__term_ 36 months,0.13995049893856049
cat__sub_grade_A1,0.10210730135440826
cat__grade_E,0.08461350947618484
num__revol_bal,0.08422039449214935
cat__grade_D,0.08243546634912491
cat__sub_grade_A2,0.07563436776399612
cat__home_ownership_MORTGAGE,0.07400576770305634
cat__home_ownership_RENT,0.07079767435789108
cat__sub_grade_A3,0.06445662677288055
cat__grade_F,0.057554248720407486
cat__grade_B,0.05723121762275696
num__inq_last_6mths,0.056642305105924606
cat__sub_grade_B1,0.054791323840618134
num__fico_avg,0.050306808203458786
cat__sub_grade_A4,0.04922907054424286
num__fico_range_high,0.048936877399683
num__fico_range_low,0.04765104502439499
