feature,mean_abs_shap,mean_shap,percentage
cat__term_ 36 months,0.17044579444567118,0.027208929370036602,0.12707536656751603
cat__term_ 60 months,0.11768429671246336,0.018354089202747302,0.08773918530881306
num__dti,0.11593634331183675,0.016059157791547988,0.08643600373223057
num__fico_range_low,0.1102009412078669,0.016914167529262128,0.08215999136627934
num__inq_last_6mths,0.10213039462767844,0.008888961315355824,0.07614301882428708
num__income_to_loan_ratio,0.084742549171435,0.008364907042423386,0.06317956119039549
num__mort_acc,0.07699163519391668,0.00883347300255135,0.05740088980616035
num__fico_avg,0.07196907501174293,0.014308179789198575,0.05365633466279143
num__total_rev_hi_lim,0.05118774880155323,0.004459134630022496,0.03816287731755476
num__loan_amnt,0.039761235689828006,0.0031929851066512245,0.02964387368368195
cat__purpose_credit_card,0.03967172740601733,0.00433781602638758,0.02957714104288513
num__num_actv_rev_tl,0.03325510617232616,0.0016902964116387359,0.024793247735056315
num__fico_range_high,0.03323565392229366,0.006315457982615491,0.024778745166591766
cat__home_ownership_MORTGAGE,0.03207842101212765,0.0025594164290533928,0.023915973534463213
num__total_bc_limit,0.029243855395943614,0.002588625545435679,0.021802671379325112
num__credit_history_length,0.02594310251712003,5.936582948705874e-05,0.019341804665720237
cat__verification_status_Verified,0.02519097658876139,0.003209258424738326,0.018781059366242803
num__num_rev_tl_bal_gt_0,0.021932508954735124,0.002432233228664298,0.01635171829397447
num__tot_hi_cred_lim,0.015657567064799916,0.002009840109779051,0.011673453609024775
cat__verification_status_Not Verified,0.015514010536300825,0.0036069248716154934,0.011566425456517341
num__revol_bal,0.015232633697998477,0.0010749330396535239,0.011356645772676114
num__bc_open_to_buy,0.011832077384760062,0.0019451445233310107,0.00882137089866923
num__tot_cur_bal,0.010661850332837782,0.0012669352150314567,0.007948911521927922
num__bc_util,0.010078465662910189,0.00178466193043432,0.0075139707771473396
num__revol_util,0.010018737594149769,0.0034777150969137072,0.007469440689110938
num__num_rev_accts,0.006256303882359253,-0.0006862700018415637,0.004664369172581641
num__open_acc,0.006068203703890906,7.059127985249978e-05,0.00452413163132685
cat__verification_status_Source Verified,0.00538101333485264,-0.0009593727018219558,0.0040117988493347505
cat__home_ownership_RENT,0.0052252170957205,0.00024545185487077236,0.0038956454161453644
num__annual_inc,0.004298401684309366,0.0008664134979587136,0.003204660880395887
num__num_bc_sats,0.0038657259478101394,0.0003355119461834421,0.0028820807428259067
num__total_acc,0.0037562421067422838,0.0008779198614861819,0.0028004553833844213
cat__addr_state_SC,0.0033984453187634574,6.872149789173924e-05,0.002533701028212686
num__percent_bc_gt_75,0.003148074520559368,-0.001171391318352946,0.002347037807432971
num__num_bc_tl,0.0030351231046698572,0.0011876698393544149,0.00226282720766335
num__num_tl_90g_dpd_24m,0.0028920083043046463,0.0006178201608027998,0.002156128384282038
num__delinq_2yrs,0.0027121168396951416,0.0003991735495018944,0.002022010825782191
cat__purpose_debt_consolidation,0.0022999770776394707,0.0005879991333620483,0.0017147412242610647
cat__addr_state_IN,0.002068012231173364,-0.00027609846603327394,0.0015418005072939838
num__total_il_high_credit_limit,0.0020041447071382505,0.00017558177083349332,0.0014941842604108222
cat__emp_length_5 years,0.0018685776120487467,0.00021432672773622136,0.0013931126067568324
cat__purpose_other,0.0018390898069783356,0.0001258045370698042,0.0013711280594068634
cat__addr_state_GA,0.0014409670496409294,4.393861251324228e-05,0.0010743087950063743
num__pub_rec_bankruptcies,0.0012848894001671652,0.00011782073782513776,0.0009579455571548429
