variable,relative_importance,scaled_importance,percentage
cat__term_ 36 months,316.7599792480469,1.0,0.13198801598849122
num__fico_range_low,233.740478515625,0.7379103858716591,0.09739532780850228
cat__term_ 60 months,227.01651000976562,0.7166830562013474,0.0945935746805842
num__dti,205.12840270996094,0.6475830791405943,0.08547320580348514
num__income_to_loan_ratio,158.391845703125,0.500037429220477,0.06599894820279636
num__fico_avg,137.31593322753906,0.43350152236249,0.057217005864615623
num__inq_last_6mths,123.19236755371094,0.3889139273406823,0.05133197765998889
num__total_rev_hi_lim,118.62556457519531,0.37449669259607626,0.049429075450008
num__mort_acc,94.26841735839844,0.2976020442423984,0.039279903373673354
num__loan_amnt,77.15827178955078,0.2435859226052356,0.03215042264739122
num__fico_range_high,63.23930740356445,0.1996442465796581,0.0263506480095662
num__num_actv_rev_tl,53.736305236816406,0.16964360638102213,0.022390923031363665
num__total_bc_limit,53.47434997558594,0.16881662292859131,0.022281771126222004
num__credit_history_length,44.20153045654297,0.1395426611703679,0.01841795899363113
num__num_rev_tl_bal_gt_0,40.29530715942383,0.1272108530095261,0.016790308100930938
cat__purpose_credit_card,36.54753494262695,0.11537926927949281,0.015228680838402132
cat__home_ownership_MORTGAGE,32.2691764831543,0.10187264363306801,0.013445968116631249
num__bc_util,30.69850730895996,0.0969140968560322,0.012791499365344164
cat__verification_status_Verified,29.673751831054688,0.09367898022186039,0.012364502739308461
num__tot_hi_cred_lim,28.360366821289062,0.08953267041061637,0.01181723953364875
num__revol_bal,27.083131790161133,0.08550048479752237,0.011285039354479134
num__annual_inc,22.091625213623047,0.06974247588368367,0.009205171022012603
num__total_acc,20.684633255004883,0.06530065226076827,0.008618903534653189
num__revol_util,17.664255142211914,0.05576542587275356,0.00736036792169802
num__tot_cur_bal,14.048666000366211,0.044351139413874786,0.005853818898066309
num__num_bc_sats,14.012931823730469,0.0442383278878715,0.005838929128568501
num__bc_open_to_buy,13.235264778137207,0.04178326065545357,0.005514889675443303
num__open_acc,12.809852600097656,0.040440249524282795,0.0053376283007896125
cat__verification_status_Not Verified,12.4364013671875,0.03926127725071248,0.005182018089495626
cat__addr_state_SC,11.716712951660156,0.036989246493431195,0.00488213725757724
