column,accepted_dtype,thesis_dtype,equal
acc_now_delinq,float,float,True
acc_open_past_24mths,float,float,True
addr_state,string,string,True
all_util,float,float,True
annual_inc,float,float,True
annual_inc_joint,float,float,True
application_type,string,string,True
avg_cur_bal,float,float,True
bc_open_to_buy,float,float,True
bc_util,float,float,True
chargeoff_within_12_mths,float,float,True
collection_recovery_fee,float,float,True
collections_12_mths_ex_med,float,float,True
debt_settlement_flag,string,string,True
debt_settlement_flag_date,datetime,datetime,True
deferral_term,float,float,True
delinq_2yrs,float,float,True
delinq_amnt,float,float,True
desc,float,float,True
disbursement_method,string,string,True
dti,float,float,True
dti_joint,float,float,True
earliest_cr_line,datetime,datetime,True
emp_length,string,string,True
emp_title,string,string,True
fico_range_high,float,float,True
fico_range_low,float,float,True
funded_amnt,float,float,True
funded_amnt_inv,float,float,True
grade,string,string,True
hardship_amount,float,float,True
hardship_dpd,float,float,True
hardship_end_date,datetime,datetime,True
hardship_flag,string,string,True
hardship_last_payment_amount,float,float,True
hardship_length,float,float,True
hardship_loan_status,string,string,True
hardship_payoff_balance_amount,float,float,True
hardship_reason,string,string,True
hardship_start_date,datetime,datetime,True
hardship_status,string,string,True
hardship_type,string,string,True
home_ownership,string,string,True
id,int,int,True
il_util,float,float,True
initial_list_status,string,string,True
inq_fi,float,float,True
inq_last_12m,float,float,True
inq_last_6mths,float,float,True
installment,float,float,True
int_rate,float,float,True
issue_d,datetime,datetime,True
last_credit_pull_d,datetime,datetime,True
last_fico_range_high,float,float,True
last_fico_range_low,float,float,True
last_pymnt_amnt,float,float,True
last_pymnt_d,datetime,datetime,True
loan_amnt,float,float,True
loan_status,string,string,True
max_bal_bc,float,float,True
member_id,float,float,True
mo_sin_old_il_acct,float,float,True
mo_sin_old_rev_tl_op,float,float,True
mo_sin_rcnt_rev_tl_op,float,float,True
mo_sin_rcnt_tl,float,float,True
mort_acc,float,float,True
mths_since_last_delinq,float,float,True
mths_since_last_major_derog,float,float,True
mths_since_last_record,float,float,True
mths_since_rcnt_il,float,float,True
mths_since_recent_bc,float,float,True
mths_since_recent_bc_dlq,float,float,True
mths_since_recent_inq,float,float,True
mths_since_recent_revol_delinq,float,float,True
next_pymnt_d,float,float,True
num_accts_ever_120_pd,float,float,True
num_actv_bc_tl,float,float,True
num_actv_rev_tl,float,float,True
num_bc_sats,float,float,True
num_bc_tl,float,float,True
num_il_tl,float,float,True
num_op_rev_tl,float,float,True
num_rev_accts,float,float,True
num_rev_tl_bal_gt_0,float,float,True
num_sats,float,float,True
num_tl_120dpd_2m,float,float,True
num_tl_30dpd,float,float,True
num_tl_90g_dpd_24m,float,float,True
num_tl_op_past_12m,float,float,True
open_acc,float,float,True
open_acc_6m,float,float,True
open_act_il,float,float,True
open_il_12m,float,float,True
open_il_24m,float,float,True
open_rv_12m,float,float,True
open_rv_24m,float,float,True
orig_projected_additional_accrued_interest,float,float,True
out_prncp,float,float,True
out_prncp_inv,float,float,True
payment_plan_start_date,datetime,datetime,True
pct_tl_nvr_dlq,float,float,True
percent_bc_gt_75,float,float,True
policy_code,float,float,True
pub_rec,float,float,True
pub_rec_bankruptcies,float,float,True
purpose,string,string,True
pymnt_plan,string,string,True
recoveries,float,float,True
revol_bal,float,float,True
revol_bal_joint,float,float,True
revol_util,float,float,True
sec_app_chargeoff_within_12_mths,float,float,True
sec_app_collections_12_mths_ex_med,float,float,True
sec_app_earliest_cr_line,float,float,True
sec_app_fico_range_high,float,float,True
sec_app_fico_range_low,float,float,True
sec_app_inq_last_6mths,float,float,True
sec_app_mort_acc,float,float,True
sec_app_mths_since_last_major_derog,float,float,True
sec_app_num_rev_accts,float,float,True
sec_app_open_acc,float,float,True
sec_app_open_act_il,float,float,True
sec_app_revol_util,float,float,True
settlement_amount,float,float,True
settlement_date,datetime,datetime,True
settlement_percentage,float,float,True
settlement_status,string,string,True
settlement_term,float,float,True
sub_grade,string,string,True
tax_liens,float,float,True
term,string,string,True
title,string,string,True
tot_coll_amt,float,float,True
tot_cur_bal,float,float,True
tot_hi_cred_lim,float,float,True
total_acc,float,float,True
total_bal_ex_mort,float,float,True
total_bal_il,float,float,True
total_bc_limit,float,float,True
total_cu_tl,float,float,True
total_il_high_credit_limit,float,float,True
total_pymnt,float,float,True
total_pymnt_inv,float,float,True
total_rec_int,float,float,True
total_rec_late_fee,float,float,True
total_rec_prncp,float,float,True
total_rev_hi_lim,float,float,True
url,string,string,True
verification_status,string,string,True
verification_status_joint,float,float,True
zip_code,string,string,True
