column,accepted_dtype,thesis_dtype,same
acc_now_delinq,float64,float64,True
acc_open_past_24mths,float64,float64,True
addr_state,object,object,True
all_util,float64,float64,True
annual_inc,float64,float64,True
annual_inc_joint,float64,float64,True
application_type,object,object,True
avg_cur_bal,float64,float64,True
bc_open_to_buy,float64,float64,True
bc_util,float64,float64,True
chargeoff_within_12_mths,float64,float64,True
collection_recovery_fee,float64,float64,True
collections_12_mths_ex_med,float64,float64,True
debt_settlement_flag,object,object,True
debt_settlement_flag_date,object,object,True
deferral_term,float64,float64,True
delinq_2yrs,float64,float64,True
delinq_amnt,float64,float64,True
desc,object,object,True
disbursement_method,object,object,True
dti,float64,float64,True
dti_joint,float64,float64,True
earliest_cr_line,object,object,True
emp_length,object,object,True
emp_title,object,object,True
fico_range_high,float64,float64,True
fico_range_low,float64,float64,True
funded_amnt,float64,float64,True
funded_amnt_inv,float64,float64,True
grade,object,object,True
hardship_amount,float64,float64,True
hardship_dpd,float64,float64,True
hardship_end_date,object,object,True
hardship_flag,object,object,True
hardship_last_payment_amount,float64,float64,True
hardship_length,float64,float64,True
hardship_loan_status,object,object,True
hardship_payoff_balance_amount,float64,float64,True
hardship_reason,object,object,True
hardship_start_date,object,object,True
hardship_status,object,object,True
hardship_type,object,object,True
home_ownership,object,object,True
id,int64,int64,True
il_util,float64,float64,True
initial_list_status,object,object,True
inq_fi,float64,float64,True
inq_last_12m,float64,float64,True
inq_last_6mths,float64,float64,True
installment,float64,float64,True
int_rate,float64,float64,True
issue_d,object,object,True
last_credit_pull_d,object,object,True
last_fico_range_high,float64,float64,True
last_fico_range_low,float64,float64,True
last_pymnt_amnt,float64,float64,True
last_pymnt_d,object,object,True
loan_amnt,float64,float64,True
loan_status,object,object,True
max_bal_bc,float64,float64,True
member_id,float64,float64,True
mo_sin_old_il_acct,float64,float64,True
mo_sin_old_rev_tl_op,float64,float64,True
mo_sin_rcnt_rev_tl_op,float64,float64,True
mo_sin_rcnt_tl,float64,float64,True
mort_acc,float64,float64,True
mths_since_last_delinq,float64,float64,True
mths_since_last_major_derog,float64,float64,True
mths_since_last_record,float64,float64,True
mths_since_rcnt_il,float64,float64,True
mths_since_recent_bc,float64,float64,True
mths_since_recent_bc_dlq,float64,float64,True
mths_since_recent_inq,float64,float64,True
mths_since_recent_revol_delinq,float64,float64,True
next_pymnt_d,object,object,True
num_accts_ever_120_pd,float64,float64,True
num_actv_bc_tl,float64,float64,True
num_actv_rev_tl,float64,float64,True
num_bc_sats,float64,float64,True
num_bc_tl,float64,float64,True
num_il_tl,float64,float64,True
num_op_rev_tl,float64,float64,True
num_rev_accts,float64,float64,True
num_rev_tl_bal_gt_0,float64,float64,True
num_sats,float64,float64,True
num_tl_120dpd_2m,float64,float64,True
num_tl_30dpd,float64,float64,True
num_tl_90g_dpd_24m,float64,float64,True
num_tl_op_past_12m,float64,float64,True
open_acc,float64,float64,True
open_acc_6m,float64,float64,True
open_act_il,float64,float64,True
open_il_12m,float64,float64,True
open_il_24m,float64,float64,True
open_rv_12m,float64,float64,True
open_rv_24m,float64,float64,True
orig_projected_additional_accrued_interest,float64,float64,True
out_prncp,float64,float64,True
out_prncp_inv,float64,float64,True
payment_plan_start_date,object,object,True
pct_tl_nvr_dlq,float64,float64,True
percent_bc_gt_75,float64,float64,True
policy_code,float64,float64,True
pub_rec,float64,float64,True
pub_rec_bankruptcies,float64,float64,True
purpose,object,object,True
pymnt_plan,object,object,True
recoveries,float64,float64,True
revol_bal,float64,float64,True
revol_bal_joint,float64,float64,True
revol_util,float64,float64,True
sec_app_chargeoff_within_12_mths,float64,float64,True
sec_app_collections_12_mths_ex_med,float64,float64,True
sec_app_earliest_cr_line,float64,float64,True
sec_app_fico_range_high,float64,float64,True
sec_app_fico_range_low,float64,float64,True
sec_app_inq_last_6mths,float64,float64,True
sec_app_mort_acc,float64,float64,True
sec_app_mths_since_last_major_derog,float64,float64,True
sec_app_num_rev_accts,float64,float64,True
sec_app_open_acc,float64,float64,True
sec_app_open_act_il,float64,float64,True
sec_app_revol_util,float64,float64,True
settlement_amount,float64,float64,True
settlement_date,object,object,True
settlement_percentage,float64,float64,True
settlement_status,object,object,True
settlement_term,float64,float64,True
sub_grade,object,object,True
tax_liens,float64,float64,True
term,object,object,True
title,object,object,True
tot_coll_amt,float64,float64,True
tot_cur_bal,float64,float64,True
tot_hi_cred_lim,float64,float64,True
total_acc,float64,float64,True
total_bal_ex_mort,float64,float64,True
total_bal_il,float64,float64,True
total_bc_limit,float64,float64,True
total_cu_tl,float64,float64,True
total_il_high_credit_limit,float64,float64,True
total_pymnt,float64,float64,True
total_pymnt_inv,float64,float64,True
total_rec_int,float64,float64,True
total_rec_late_fee,float64,float64,True
total_rec_prncp,float64,float64,True
total_rev_hi_lim,float64,float64,True
url,object,object,True
verification_status,object,object,True
verification_status_joint,object,object,True
zip_code,object,object,True
