column,in_accepted,accepted_missing,accepted_total,accepted_missing_pct,in_thesis,thesis_missing,thesis_total,thesis_missing_pct,delta_missing_pct
acc_now_delinq,True,62,2260701,2.7425121676860406e-05,True,58,2104542,2.7559440486338595e-05,1.3431880947818871e-07
acc_open_past_24mths,True,50063,2260701,0.022144901072720363,True,50059,2104542,0.023786172953545237,0.0016412718808248745
addr_state,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
all_util,True,866381,2260701,0.3832355539277419,True,866358,2104542,0.41166106449764367,0.02842551056990178
annual_inc,True,37,2260701,1.636660487167476e-05,True,33,2104542,1.5680371311192648e-05,-6.862335604821117e-07
annual_inc_joint,True,2139991,2260701,0.9466050574578416,True,1995825,2104542,0.9483417294594263,0.0017366720015846715
application_type,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
avg_cur_bal,True,70379,2260701,0.031131494169286428,True,70372,2104542,0.03343815423973482,0.0023066600704483922
bc_open_to_buy,True,74968,2260701,0.03316139551404631,True,72793,2104542,0.03458852329865596,0.0014271277846096483
bc_util,True,76104,2260701,0.033663894517673945,True,73854,2104542,0.03509267099444915,0.0014287764767752023
chargeoff_within_12_mths,True,178,2260701,7.873663965292182e-05,True,174,2104542,8.267832145901579e-05,3.9416818060939725e-06
collection_recovery_fee,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
collections_12_mths_ex_med,True,178,2260701,7.873663965292182e-05,True,174,2104542,8.267832145901579e-05,3.9416818060939725e-06
debt_settlement_flag,True,33,2260701,1.4597242182845055e-05,True,30,2104542,1.4254883010175136e-05,-3.423591726699192e-07
debt_settlement_flag_date,True,2226455,2260701,0.9848516013395845,True,2072833,2104542,0.9849330638210119,8.146248142737456e-05
deferral_term,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
delinq_2yrs,True,62,2260701,2.7425121676860406e-05,True,58,2104542,2.7559440486338595e-05,1.3431880947818871e-07
delinq_amnt,True,62,2260701,2.7425121676860406e-05,True,58,2104542,2.7559440486338595e-05,1.3431880947818871e-07
desc,True,2134636,2260701,0.9442363231581709,True,1978478,2104542,0.940099080940176,-0.00413724221799483
disbursement_method,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
dti,True,1744,2260701,0.0007714421323297508,True,1617,2104542,0.0007683381942484398,-3.103938081310941e-06
dti_joint,True,2139995,2260701,0.9466068268205304,True,1995829,2104542,0.9483436301104944,0.0017368032899639507
earliest_cr_line,True,62,2260701,2.7425121676860406e-05,True,58,2104542,2.7559440486338595e-05,1.3431880947818871e-07
emp_length,True,146940,2260701,0.06499753837415917,True,135825,2104542,0.06453898282856793,-0.00045855554559123823
emp_title,True,167002,2260701,0.07387177693998455,True,155648,2104542,0.07395813435892465,8.635741894010007e-05
fico_range_high,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
fico_range_low,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
